company_name,company_slug,website,yc_directory_url,all_locations,regions,is_hiring,detected_board_type,trackability,selected_url,evidence
Origami,origami-2,https://origami.chat/,https://www.ycombinator.com/companies/origami-2,"San Francisco, CA, USA",United States of America;America / Canada,true,greenhouse,api_native,https://origami.chat/,greenhouse.io
Osmosis,osmosis,https://osmosis.ai/,https://www.ycombinator.com/companies/osmosis,"San Francisco, CA, USA",United States of America;America / Canada,true,,unknown,https://osmosis.ai/,no_careers_surface_detected
Outerport,outerport,https://outerport.com,https://www.ycombinator.com/companies/outerport,"San Francisco, CA, USA",United States of America;America / Canada,true,,unknown,https://www.outerport.com/,no_careers_surface_detected
Output Biosciences,output,https://www.outputbio.com/,https://www.ycombinator.com/companies/output,"New York, NY, USA",United States of America;America / Canada,true,ashby,api_native,https://outputbio.com/jobs,jobs.ashbyhq.com
Outset,outset,https://outset.ai/,https://www.ycombinator.com/companies/outset,"San Francisco, CA, USA",United States of America;America / Canada,true,,unknown,https://outset.ai/,no_careers_surface_detected
Overdrive Health,overdrive-health,https://overdrive.health,https://www.ycombinator.com/companies/overdrive-health,"New York City, NY, USA",United States of America;America / Canada,true,,unknown,https://www.overdrive.health/,no_careers_surface_detected
Overlap,overlap,https://www.overlap.ai,https://www.ycombinator.com/companies/overlap,"San Francisco, CA, USA",United States of America;America / Canada,true,,unknown,https://overlap.ai/,no_careers_surface_detected
Overstand Labs,overstand-labs,https://overstandlabs.com,https://www.ycombinator.com/companies/overstand-labs,"New York City, NY, USA",United States of America;America / Canada,true,,custom_page,https://overstandlabs.com/jobs,custom_careers_page
Overview,overview,https://overview.ai,https://www.ycombinator.com/companies/overview,"San Francisco, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,ashby,api_native,https://www.overview.ai/company/careers/,jobs.ashbyhq.com
Oway,oway,https://www.shipoway.com,https://www.ycombinator.com/companies/oway,"San Francisco, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,,unknown,https://www.shipoway.com/,no_careers_surface_detected
OWNY,owny,https://www.owny.com,https://www.ycombinator.com/companies/owny,"Palo Alto, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,,custom_page,https://www.ycombinator.com/companies/owny/jobs,custom_careers_page
Oximy,oximy,https://oximy.com,https://www.ycombinator.com/companies/oximy,"San Francisco, CA, USA",United States of America;America / Canada,true,workday,structured_board,https://www.oximy.com/,workday
Oxygen,oxygen,http://getoxygen.com,https://www.ycombinator.com/companies/oxygen,"San Francisco, CA, USA; Los Angeles, CA, USA; Remote",United States of America;America / Canada;Remote;Fully Remote,true,,unknown,https://oxygen.us/,no_careers_surface_detected
Paces,paces,https://paces.com,https://www.ycombinator.com/companies/paces,"New York, NY, USA",United States of America;America / Canada,true,,custom_page,https://jobs.gem.com/paces,custom_careers_page
Padlet,padlet,https://padlet.com,https://www.ycombinator.com/companies/padlet,"San Francisco, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,,unknown,https://padlet.com/,no_careers_surface_detected
Pair AI,pair-ai,https://www.pairai.com/,https://www.ycombinator.com/companies/pair-ai,"New York City, NY, USA",United States of America;America / Canada,true,ukg_ultipro,structured_board,https://pairai.com/,ukg
Pair Team,pair-team,https://pairteam.com/,https://www.ycombinator.com/companies/pair-team,"San Francisco, CA, USA; Remote",United States of America;America / Canada;Remote;Fully Remote,true,greenhouse,api_native,https://pairteam.com/,greenhouse.io
Paladin,paladin,http://paladindrones.io,https://www.ycombinator.com/companies/paladin,"Houston, TX, USA",United States of America;America / Canada;Remote;Partly Remote,true,jazzhr,structured_board,https://www.paladindrones.io/careers,applytojob.com
Pangea.app,pangea-app,https://www.pangea.app,https://www.ycombinator.com/companies/pangea-app,"New York, NY, USA; Providence, RI, USA; Remote",United States of America;America / Canada;Remote;Fully Remote,true,,unknown,https://www.pangea.app/,no_careers_surface_detected
Pangolin,pangolin,https://pangolin.net,https://www.ycombinator.com/companies/pangolin,"San Francisco, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,,custom_page,https://docs.pangolin.net/careers/join-us,custom_careers_page
ParadeDB,paradedb,https://paradedb.com,https://www.ycombinator.com/companies/paradedb,"San Francisco, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,ukg_ultipro,structured_board,https://www.paradedb.com/,ukg
Paradigm,paradigm,https://www.paradigmai.com/,https://www.ycombinator.com/companies/paradigm,"San Francisco, CA, USA",United States of America;America / Canada,true,ashby,api_native,https://www.paradigmai.com/careers,jobs.ashbyhq.com
Paragon,paragon,http://useparagon.com,https://www.ycombinator.com/companies/paragon,"Los Angeles, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,,unknown,https://www.useparagon.com/,no_careers_surface_detected
