company_key,company_name,segment_primary,segment_tags,source_lists,local_source_rank,yc_source_rank,city,state_or_region,metro_area,company_category,employee_band,hq_status,company_website,careers_page,company_linkedin,source_systems,check_daily,priority_tier,board_type,board_url,board_token,board_api_url,board_confirmation_status,board_last_verified_at,resolved_from_url,listing_source_type,listing_source_url,listing_source_job_count,listing_source_last_verified_at,listing_authority,listing_source_notes,job_source_type,job_source_url,job_source_job_count,job_source_last_verified_at,job_source_notes,jd_capture_status,jd_format,jd_extraction_method,jd_extraction_locator,jd_last_verified_at,jd_notes,notes
kalshi,Kalshi,yc,yc,yc_us_hiring_confirmed_api_native_live,,105,,,,,,,https://www.kalshi.com,https://kalshi.com/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/kalshi,kalshi,https://api.ashbyhq.com/posting-api/job-board/kalshi?includeCompensation=true,live_jobs,,https://kalshi.com/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/kalshi?includeCompensation=true,27,,api_primary,Public ATS/API feed is the authoritative live listing source.,api_native,https://api.ashbyhq.com/posting-api/job-board/kalshi?includeCompensation=true,27,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
kingdom,Kingdom,yc,yc,yc_us_hiring_confirmed_api_native_live,,106,,,,,,,https://kingdomsuperculture.com,https://www.kingdomsuperculture.com/,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/Kingdom,Kingdom,https://api.ashbyhq.com/posting-api/job-board/Kingdom?includeCompensation=true,live_jobs,,https://www.kingdomsuperculture.com/,api_native,https://api.ashbyhq.com/posting-api/job-board/Kingdom?includeCompensation=true,3,,api_primary,Public ATS/API feed is the authoritative live listing source.,api_native,https://api.ashbyhq.com/posting-api/job-board/Kingdom?includeCompensation=true,3,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
klarity,Klarity,yc,yc,yc_us_hiring_confirmed_api_native_live,,107,,,,,,,http://klarity.ai,https://www.klarity.ai/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/klarity-ai,klarity-ai,https://api.ashbyhq.com/posting-api/job-board/klarity-ai?includeCompensation=true,live_jobs,,https://www.klarity.ai/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/klarity-ai?includeCompensation=true,16,,api_primary,Public ATS/API feed is the authoritative live listing source.,api_native,https://api.ashbyhq.com/posting-api/job-board/klarity-ai?includeCompensation=true,16,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
knowtex,Knowtex,yc,yc,yc_us_hiring_confirmed_api_native_live,,108,,,,,,,http://www.knowtex.ai/,https://www.knowtex.ai/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/ashby-embed-demo-org,ashby-embed-demo-org,https://api.ashbyhq.com/posting-api/job-board/ashby-embed-demo-org?includeCompensation=true,live_jobs,,https://www.knowtex.ai/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/ashby-embed-demo-org?includeCompensation=true,9,,api_primary,Public ATS/API feed is the authoritative live listing source.,api_native,https://api.ashbyhq.com/posting-api/job-board/ashby-embed-demo-org?includeCompensation=true,9,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
kodex,Kodex,yc,yc,yc_us_hiring_confirmed_api_native_live,,109,,,,,,,https://www.kodexglobal.com,https://www.kodexglobal.com/,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/kodex,kodex,https://api.ashbyhq.com/posting-api/job-board/kodex?includeCompensation=true,live_jobs,,https://www.kodexglobal.com/,api_native,https://api.ashbyhq.com/posting-api/job-board/kodex?includeCompensation=true,5,,api_primary,Public ATS/API feed is the authoritative live listing source.,api_native,https://api.ashbyhq.com/posting-api/job-board/kodex?includeCompensation=true,5,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
lago,Lago,yc,yc,yc_us_hiring_confirmed_api_native_live,,110,,,,,,,https://www.getlago.com/,https://getlago.com/hiring,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/lago,lago,https://api.ashbyhq.com/posting-api/job-board/lago?includeCompensation=true,live_jobs,,https://getlago.com/hiring,api_native,https://api.ashbyhq.com/posting-api/job-board/lago?includeCompensation=true,12,,api_primary,Public ATS/API feed is the authoritative live listing source.,api_native,https://api.ashbyhq.com/posting-api/job-board/lago?includeCompensation=true,12,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
latent,Latent,yc,yc,yc_us_hiring_confirmed_api_native_live,,111,,,,,,,https://latenthealth.com,https://latenthealth.com/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/latent,latent,https://api.ashbyhq.com/posting-api/job-board/latent?includeCompensation=true,live_jobs,,https://latenthealth.com/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/latent?includeCompensation=true,21,,api_primary,Public ATS/API feed is the authoritative live listing source.,api_native,https://api.ashbyhq.com/posting-api/job-board/latent?includeCompensation=true,21,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
litellm,LiteLLM,yc,yc,yc_us_hiring_confirmed_api_native_live,,112,,,,,,,https://www.litellm.ai/,https://www.litellm.ai/,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/litellm,litellm,https://api.ashbyhq.com/posting-api/job-board/litellm?includeCompensation=true,live_jobs,,https://www.litellm.ai/,api_native,https://api.ashbyhq.com/posting-api/job-board/litellm?includeCompensation=true,6,,api_primary,Public ATS/API feed is the authoritative live listing source.,api_native,https://api.ashbyhq.com/posting-api/job-board/litellm?includeCompensation=true,6,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
living-carbon,Living Carbon,yc,yc,yc_us_hiring_confirmed_api_native_live,,113,,,,,,,https://www.livingcarbon.com,https://www.livingcarbon.com/about#careers,,yc_public_directory;yc_api_native_board_confirmation,true,,lever,https://jobs.lever.co/livingcarbon,livingcarbon,https://api.lever.co/v0/postings/livingcarbon?mode=json,live_jobs,,https://www.livingcarbon.com/about#careers,api_native,https://api.lever.co/v0/postings/livingcarbon?mode=json,2,,api_primary,Public ATS/API feed is the authoritative live listing source.,api_native,https://api.lever.co/v0/postings/livingcarbon?mode=json,2,,,full_jd_inferred_api,html_or_text,api_field,[].description|[].descriptionPlain,,,
lob,Lob,yc,yc,yc_us_hiring_confirmed_api_native_live,,114,,,,,,,http://lob.com,https://www.lob.com/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,greenhouse,https://job-boards.greenhouse.io/lob,lob,https://boards-api.greenhouse.io/v1/boards/lob/jobs?content=true,live_jobs,,https://www.lob.com/careers,api_native,https://boards-api.greenhouse.io/v1/boards/lob/jobs?content=true,8,,api_primary,Public ATS/API feed is the authoritative live listing source.,api_native,https://boards-api.greenhouse.io/v1/boards/lob/jobs?content=true,8,,,full_jd_inferred_api,html,api_field,jobs[].content,,,
loula,Loula,yc,yc,yc_us_hiring_confirmed_api_native_live,,115,,,,,,,https://joinloula.com,https://joinloula.com/,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/loula,loula,https://api.ashbyhq.com/posting-api/job-board/loula?includeCompensation=true,live_jobs,,https://joinloula.com/,api_native,https://api.ashbyhq.com/posting-api/job-board/loula?includeCompensation=true,4,,api_primary,Public ATS/API feed is the authoritative live listing source.,api_native,https://api.ashbyhq.com/posting-api/job-board/loula?includeCompensation=true,4,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
luminai,Luminai,yc,yc,yc_us_hiring_confirmed_api_native_live,,116,,,,,,,https://www.luminai.com,https://www.luminai.com/careers,,yc_public_directory;yc_api_native_board_confirmation,true,,ashby,https://jobs.ashbyhq.com/luminai,luminai,https://api.ashbyhq.com/posting-api/job-board/luminai?includeCompensation=true,live_jobs,,https://www.luminai.com/careers,api_native,https://api.ashbyhq.com/posting-api/job-board/luminai?includeCompensation=true,11,,api_primary,Public ATS/API feed is the authoritative live listing source.,api_native,https://api.ashbyhq.com/posting-api/job-board/luminai?includeCompensation=true,11,,,full_jd_inferred_api,html_or_text,api_field,jobs[].descriptionHtml|jobs[].descriptionPlain,,,
