checked_at_utc,batch_id,queue_position,company_name,company_slug,website,yc_directory_url,previous_trackability,previous_board_type,previous_selected_url,recheck_trackability,recheck_board_type,recheck_board_token,recheck_board_url,recheck_api_url,recheck_confirmation_status,recheck_job_count,visited_pages,resolved_from_url,evidence,notes
2026-06-12T21:01:52Z,batch-032,1,Motion,motion,https://www.usemotion.com/,https://www.ycombinator.com/companies/motion,structured_board,workday,https://www.usemotion.com/features/ai-task-manager,unknown,,,,,no_structured_board_found,0,12,,,ashby:endpoint_error:http_404;ashby:endpoint_error:http_404;fetch_failed:HTTPError:https://www.usemotion.com/about/careers;fetch_failed:HTTPError:https://www.usemotion.com/about/careers/;fetch_failed:HTTPError:https://www.usemotion.com/about/careers/join-the-team;fetch_failed:HTTPError:https://www.usemotion.com/open-positions;fetch_failed:HTTPError:https://www.usemotion.com/open-positions/;fetch_failed:HTTPError:https://www.usemotion.com/job-openings
2026-06-12T21:01:52Z,batch-032,2,Nestor,nestor,https://nestorup.com,https://www.ycombinator.com/companies/nestor,structured_board,workday,https://nestorup.com/,unknown,,,,,no_structured_board_found,0,12,,,lever:endpoint_error:http_404;lever:endpoint_error:http_404;lever:endpoint_error:http_404;lever:endpoint_error:http_404;fetch_failed:HTTPError:https://nestorup.com/jobs;fetch_failed:HTTPError:https://nestorup.com/jobs/;fetch_failed:HTTPError:https://nestorup.com/about/careers;fetch_failed:HTTPError:https://nestorup.com/about/careers/
2026-06-12T21:01:52Z,batch-032,3,Netomi,netomi,https://netomi.com,https://www.ycombinator.com/companies/netomi,structured_board,ukg_ultipro,https://www.netomi.com/,api_native,lever,netomi,https://jobs.lever.co/netomi,https://api.lever.co/v0/postings/netomi?mode=json,live_jobs,36,3,https://www.netomi.com/careers,lever_pattern,
2026-06-12T21:01:52Z,batch-032,4,OneSchema,oneschema,https://www.oneschema.co,https://www.ycombinator.com/companies/oneschema,structured_board,workday,https://www.oneschema.co/,api_native,ashby,oneschema,https://jobs.ashbyhq.com/oneschema,https://api.ashbyhq.com/posting-api/job-board/oneschema?includeCompensation=true,live_jobs,3,3,https://www.oneschema.co/careers,ashby_pattern,
2026-06-12T21:01:52Z,batch-032,5,Orbital Operations,orbital-operations,https://www.orbitalops.tech/,https://www.ycombinator.com/companies/orbital-operations,structured_board,rippling,https://www.orbitalops.tech/,structured_board,rippling,,https://www.orbitalops.tech/,,detected_structured_board,0,12,https://www.orbitalops.tech/,ats.rippling.com,fetch_failed:HTTPError:https://www.orbitalops.tech/careers;fetch_failed:HTTPError:https://www.orbitalops.tech/careers/;fetch_failed:HTTPError:https://www.orbitalops.tech/jobs;fetch_failed:HTTPError:https://www.orbitalops.tech/jobs/;fetch_failed:HTTPError:https://www.orbitalops.tech/about/careers;fetch_failed:HTTPError:https://www.orbitalops.tech/about/careers/;fetch_failed:HTTPError:https://www.orbitalops.tech/about/careers/join-the-team;fetch_failed:HTTPError:https://www.orbitalops.tech/open-positions
2026-06-12T21:01:52Z,batch-032,6,Oximy,oximy,https://oximy.com,https://www.ycombinator.com/companies/oximy,structured_board,workday,https://www.oximy.com/,unknown,,,,,no_structured_board_found,0,12,,,fetch_failed:HTTPError:https://oximy.com/careers;fetch_failed:HTTPError:https://oximy.com/careers/;fetch_failed:HTTPError:https://oximy.com/jobs;fetch_failed:HTTPError:https://oximy.com/jobs/;fetch_failed:HTTPError:https://oximy.com/about/careers;fetch_failed:HTTPError:https://oximy.com/about/careers/;fetch_failed:HTTPError:https://oximy.com/about/careers/join-the-team;fetch_failed:HTTPError:https://oximy.com/open-positions
2026-06-12T21:01:52Z,batch-032,7,Pair AI,pair-ai,https://www.pairai.com/,https://www.ycombinator.com/companies/pair-ai,structured_board,ukg_ultipro,https://pairai.com/,unknown,,,,,no_structured_board_found,0,12,,,fetch_failed:HTTPError:https://www.pairai.com/careers;fetch_failed:HTTPError:https://www.pairai.com/careers/;fetch_failed:HTTPError:https://www.pairai.com/jobs;fetch_failed:HTTPError:https://www.pairai.com/jobs/;fetch_failed:HTTPError:https://www.pairai.com/about/careers;fetch_failed:HTTPError:https://www.pairai.com/about/careers/;fetch_failed:HTTPError:https://www.pairai.com/about/careers/join-the-team;fetch_failed:HTTPError:https://www.pairai.com/open-positions
2026-06-12T21:01:52Z,batch-032,8,Paladin,paladin,http://paladindrones.io,https://www.ycombinator.com/companies/paladin,structured_board,jazzhr,https://www.paladindrones.io/careers,structured_board,jazzhr,,https://www.paladindrones.io/careers,,detected_structured_board,0,12,https://www.paladindrones.io/careers,applytojob.com,fetch_failed:HTTPError:http://paladindrones.io/jobs;fetch_failed:HTTPError:http://paladindrones.io/jobs/;fetch_failed:HTTPError:http://paladindrones.io/about/careers;fetch_failed:HTTPError:http://paladindrones.io/about/careers/;fetch_failed:HTTPError:http://paladindrones.io/about/careers/join-the-team;fetch_failed:HTTPError:http://paladindrones.io/open-positions;fetch_failed:HTTPError:http://paladindrones.io/open-positions/;fetch_failed:HTTPError:http://paladindrones.io/job-openings
2026-06-12T21:01:52Z,batch-032,9,ParadeDB,paradedb,https://paradedb.com,https://www.ycombinator.com/companies/paradedb,structured_board,ukg_ultipro,https://www.paradedb.com/,structured_board,notion,,https://www.paradedb.com/,,detected_structured_board,0,12,https://www.paradedb.com/,notion.site,fetch_failed:HTTPError:https://paradedb.com/careers;fetch_failed:HTTPError:https://paradedb.com/careers/;fetch_failed:HTTPError:https://paradedb.com/jobs;fetch_failed:HTTPError:https://paradedb.com/jobs/;fetch_failed:HTTPError:https://paradedb.com/about/careers;fetch_failed:HTTPError:https://paradedb.com/about/careers/;fetch_failed:HTTPError:https://paradedb.com/about/careers/join-the-team;fetch_failed:HTTPError:https://paradedb.com/open-positions
2026-06-12T21:01:52Z,batch-032,10,Piris Labs,pirislabs,https://pirislabs.io/,https://www.ycombinator.com/companies/pirislabs,structured_board,ukg_ultipro,https://pirislabs.io/about/careers/,unknown,,,,,no_structured_board_found,0,12,,,fetch_failed:HTTPError:https://pirislabs.io/about/careers/;fetch_failed:HTTPError:https://pirislabs.io/careers;fetch_failed:HTTPError:https://pirislabs.io/careers/;fetch_failed:HTTPError:https://pirislabs.io/jobs;fetch_failed:HTTPError:https://pirislabs.io/jobs/;fetch_failed:HTTPError:https://pirislabs.io/about/careers;fetch_failed:HTTPError:https://pirislabs.io/about/careers/join-the-team;fetch_failed:HTTPError:https://pirislabs.io/open-positions
